test_name,test_tag,type,user_email,password,client_id,client_secret,message
non_existing_user,random_email,"\"password\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
user_exists,"\"\"","\"password\"","\"testuser@test.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",Success
invalid_email_missing_domain_name,"\"\"","\"password\"","\"test\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
invalid_email_missing_domain_suffix,"\"\"","\"password\"","\"test@test\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
blank_email,"\"\"","\"password\"","\"\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",Email can't be blank
wrong_password,"\"\"","\"password\"","\"test@test.com\"","\"kkkkk\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
blank_password,"\"\"","\"password\"","\"test@test.com\"","\"\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
invalid_client_id,"\"\"","\"password\"","\"test_unique@gmail.com\"","\"Test123!\"","\"invalid\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",This client is not authorized to perform that action.
invalid_client_secret,"\"\"","\"password\"","\"test_unique@gmail.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"invalid\"",This client is not authorized to perform that action.
blank_client_id,"\"\"","\"password\"","\"test_unique@gmail.com\"","\"Test123!\"","\"\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",This client is not authorized to perform that action.
blank_client_secret,"\"\"","\"password\"","\"test_unique@gmail.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"\"",This client is not authorized to perform that action.
invalid_type,"\"\"","\"test\"","\"test@test\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",There was an error logging in. Please try again.
blank_type,"\"\"","\"\"","\"test@test\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",Type cannot be blank
