test_name,test_tag,user_firstname,user_lastname,user_email,password,client_id,client_secret,image_url,message
new_user,random_email,test,test,will be generated dynamically,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Success
user_exists,,test,test,test@test.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,A user with that email already exists
invalid_email_missing_domain_name,,test,test,test,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Email is invalid
invalid_email_missing_domain_suffix,,test,test,test@test,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Email is invalid
blank_email,,test,test,,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Email can't be blank
password_min_char,,test,test,test_unique@gmail.com,kkkkk,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Password is too short (minimum is 6 characters)
password_six_char,random_email,test,test,test_unique@gmail.com,kkkkkk,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Success
blank_password,,test,test,test_unique@gmail.com,,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Password can't be blank
invalid_client_id,,test,test,test_unique@gmail.com,Test123!,invalid,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,This client is not authorized to perform that action.
invalid_client_secret,,test,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,invalid,https://static.thenounproject.com/a.html,This client is not authorized to perform that action.
blank_client_id,,test,test,test_unique@gmail.com,Test123!,,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,This client is not authorized to perform that action.
blank_client_secret,,test,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,,https://static.thenounproject.com/a.html,This client is not authorized to perform that action.
blank_first_name,,,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,First name can't be blank
blank_last_name,,test,,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Last name can't be blank
first_name_one_char,random_email,a,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Success
last_name_one_char,random_email,test,a,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,https://static.thenounproject.com/a.html,Success
invalid_image_url,random_email,test,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,a,Success
blank_image_url,random_email,test,test,test_unique@gmail.com,Test123!,277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe,d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352,,Success
